,nombre,fecha_limite,enlaces
20,"PROYECTO DE DISPOSICIONES DE CARÁCTER GENERAL PARA DETERMINAR LOS MEDIOS PARA DAR A CONOCER LAS CIRCULARES QUE EL BANCO DE MÉXICO EMITA EN MATERIA DE ALMACENAMIENTO, ABASTECIMIENTO, CANJE, ENTREGA, RETIRO, REPRODUCCIÓN Y DESTRUCCIÓN DE BILLETES Y MONEDAS",Cerrado el 29/06/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={AB0F6D04-37CF-DC66-06BB-35B03974C77F}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={9EC35EA0-30F3-CAB0-56AB-7A50CC1B1FFA}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B70769FD-2503-3542-E9AE-B674CF1E3C78}'}"
21,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 14/2007, CON OBJETO DE ESTABLECER LAS FECHAS A PARTIR DE LAS CUALES SE RESTRINGIRÁ EL USO DE LAS TIIE A PLAZOS MAYORES A UN DÍA HÁBIL BANCARIO",Cerrado el 30/01/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B563BD36-00EE-6D06-F9B3-F90425D5437A}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={FDD36706-A7BE-B222-352E-FCAE88832774}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={B079315C-9BF1-C2C3-E307-C6C1A2BD700A}'}"
22,"PROYECTO DE DISPOSICIONES PARA MODIFICAR LA CIRCULAR 3/2012, CON OBJETO DE ESTABLECER LAS FECHAS A PARTIR DE LAS CUALES SE RESTRINGIRÁ EL USO DE LAS TIIE A PLAZOS MAYORES A UN DÍA HÁBIL BANCARIO, ASÍ COMO MODIFICAR LA METODOLOGÍA PARA SU CÁLCULO",Cerrado el 30/01/2023,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={A8070C0C-8FC4-723A-5965-70856031B8F1}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={D6D3D768-C8D9-A156-4936-85D07EBB5161}', 'Reporte de comentarios': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={4222B271-688B-03AD-0B47-2FB2A4194433}'}"
23,"PROYECTO DE MODIFICACIONES A LA CIRCULAR 13/2012, EN MATERIA DE OPERADORES PARA EL SISTEMA DE REGISTRO DE COMISIONES",Cerrado el 26/12/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={3C1678E8-B2D9-279B-7FC8-CB66E23F5C78}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={3213C937-9EE3-0403-8C2B-4356D7DFF283}'}"
24,"PROYECTO DE MODIFICACIONES A LAS REGLAS PARA LA REALIZACIÓN DE OPERACIONES DERIVADAS, CONTENIDAS EN LA CIRCULAR 4/2012 DEL BANCO DE MÉXICO, EN MATERIA DE DERIVADOS DE CRÉDITO",Cerrado el 07/10/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={1A928957-2409-4D23-835F-E4E2B7B2F0B5}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={7894A454-62CE-2244-DAC3-F30C00EADAF8}'}"
25,PROYECTO DE MODIFICACIONES A LAS REGLAS A LAS QUE DEBERÁN SUJETARSE LAS ENTIDADES FINANCIERAS EN SUS OPERACIONES DE REPORTO,Cerrado el 15/09/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={6E93C39F-D91B-9F1C-2D50-0BB264826365}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={DC6DD7BA-FD2F-6951-3155-59C7D28E3BC9}'}"
26,PROYECTO DE DISPOSICIONES SOBRE LAS REGLAS APLICABLES AL IDENTIFICADOR ÚNICO DE TRANSACCIÓN (UTI) Y AL IDENTIFICADOR ÚNICO DE PRODUCTO (UPI) EN OPERACIONES DERIVADAS Y LAS MODIFICACIONES A LAS REGLAS PARA LA REALIZACIÓN DE OPERACIONES DERIVADAS,Cerrado el 02/08/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={A391197B-2C42-FD15-D604-E39D9349F917}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={599F1356-8A58-058A-B765-E9520E576A42}'}"
27,PROYECTO DE DISPOSICIONES SOBRE LAS REGLAS APLICABLES AL IDENTIFICADOR ÚNICO DE TRANSACCIÓN (UTI) Y AL IDENTIFICADOR ÚNICO DE PRODUCTO (UPI) EN OPERACIONES DERIVADAS Y LAS MODIFICACIONES A LAS REGLAS PARA LA REALIZACIÓN DE OPERACIONES DERIVADAS,Cerrado el 02/08/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={5D0ABA6C-D01B-FC06-8AD5-185519AEF91D}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={D1BC8F7A-6678-86DC-B64F-9CBD4EF04332}'}"
28,"PROYECTO DE MODIFICACIONES A LAS REGLAS GENERALES CONTENIDAS EN LA CIRCULAR 27/2008 DEL BANCO DE MÉXICO, EN MATERIA DE PLATAFORMAS DE OFRECIMIENTO DE CRÉDITO ADMINISTRADAS POR EL BANCO DE MÉXICO",Cerrado el 21/06/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={9D794165-6429-B7F8-87D2-498BE3A99BF8}', 'Proyecto de disposiciones': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={325503E1-23AE-DDA6-8E9D-BD38F49EFC0D}'}"
29,"NOTA CONCEPTUAL RELATIVA AL CATÁLOGO DE CATEGORÍAS DE COMISIONES A QUE SE REFIERE EL NUMERAL 2.1.3., FRACCIÓN I, DE LAS DISPOSICIONES DE CARÁCTER GENERAL EN MATERIA DE REGISTRO DE COMISIONES",Cerrado el 21/06/2022,"{'Plan de consulta': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={8AEB615B-D9A5-B8FD-2C89-7AF370FCEA85}', 'Nota conceptual': 'https://www.banxico.org.mx/ConsultaRegulacionWeb/downloadFile?fileId={944F0EEB-0A2A-995F-029C-9E6BF5EDE068}'}"
